CUSTOMER_ID;NAME;BALANCE;OVERDRAFT;PASSWORD;ACTIVE
9999991;KD01 PW123401;0.0;0;a6dcea87ebad15bf61a672285836a43ad41a00e078d0f6d2219ab7273235a02b;y
9999992;KD02 PW123402;0.0;0;f5c44ead7b0ce44a9a3a7504291a3cac6cf8b9a3f6157156da55f64f46a1fa44;y
9999993;KD03 PW123403;0.0;0;5da6d59b54d20a26ab3657290052546de14542388572337d6dd6d5d13078926b;y
9999994;KD04 PW123404;0.0;0;d4c133a8f4d4b482b697ad0935932eb456a166cb1f4fcea36a29825d43015f7d;y
9999995;KD05 PW123405;0.0;0;b021eb69198a9a9802c796a8b6e1c4a6de668836cede5a8565a5d221ae2525cf;y
9999996;KD06 PW123406;0.0;0;5c1a02ea330354c81bc7e4cc4e179cfb3cb81c343c53fffe0610c65d8dbdb0dc;y
9999997;KD07 PW123407;0.0;0;db1637c3ff433dbdf0433f233ebedd74fafd4c27a48174aca92472f89f95c022;y
9999998;KD08 PW123408;0.0;0;235c1c9eff6bafb1104e19c7e1c4f7a520fdb40595e4173c0d18019c521fd872;y
9999999;KD09 PW123409;0.0;0;f2c3c62569303ac6d2d23ddde4acb6dd7f0e773bd8036282887e5e7cc95fda5a;y
10000000;KD10 PW123410;0.0;0;9c33e742afb97d5e66a79af7877569677655108a35d84579d7eaf907661e0b29;y
10000001;Steffi PW120594;1000.0;0;80d9f5101eaa44d08e82819720c10f9fa8a4937bd3e9929f51708fef48f4aaf4;y
10000002;Tobi PW240588;1000.0;0;e3e9282cf07fe4b5d6daf7ec55dc8c1f48e8bc743c66157d3f6ab7c39fce3117;y
